poly_id:ID,:LABEL,source_db,source_record_id,name,raw_representation,canonical_representation,mw_or_range_raw,branching_raw
dolphin::33642,Polysaccharide,DoLPHiN,33642,PV - P2,"PV - P2 | β-Araf-(1→3); β-Xylf-(1→6); α-Glcp-(1→3); β-Galp-(1→4,6); α-Glcp-(1→3,6) | Mainly composed of terminal galactosyl, →3)-Xylf-(1→), →6)-Glcp-(1→), →3)-Galp-(1→ and →5)-Araf-(1→ as well as terminal mannosyl. The ratio is 2.3:8.1:2.9:3.5:4.1:3.8. There are also 1,3-linked rhamnosyl and 1,4,6-linked glucosyl. | No relevant information could be found in the literature. | glucose 17.37%; mannose 15.64%; galactose 12.16%; xylose 31.16%; arabinose 17.05%; rhamnose 6.62%","PV - P2 | β-Araf-(1→3); β-Xylf-(1→6); α-Glcp-(1→3); β-Galp-(1→4,6); α-Glcp-(1→3,6) | Mainly composed of terminal galactosyl, →3)-Xylf-(1→), →6)-Glcp-(1→), →3)-Galp-(1→ and →5)-Araf-(1→ as well as terminal mannosyl. The ratio is 2.3:8.1:2.9:3.5:4.1:3.8. There are also 1,3-linked rhamnosyl and 1,4,6-linked glucosyl. | No relevant information could be found in the literature. | glucose 17.37%; mannose 15.64%; galactose 12.16%; xylose 31.16%; arabinose 17.05%; rhamnose 6.62%",95.7kDa,No relevant information could be found in the literature.
dolphin::33643,Polysaccharide,DoLPHiN,33643,PV - P3,"PV - P3 | β-Araf-(1→3); β-Xylf-(1→6); α-Glcp-(1→3); β-Galp-(1→4,6); α-Glcp-(1→3,6) | Mainly composed of →3)-Xylf-(1→, →5)-Araf-(1→ and terminal mannose groups, with a ratio of 5.9:2.6:2.7. There are also 1,3-linked rhamnose groups and 1,4,6-linked glucose groups. | No relevant information could be found in the literature. | glucose 11.49%; mannose 16.51%; galactose 13.64%; xylose 37.74%; arabinose 16.92%; rhamnose 3.69%","PV - P3 | β-Araf-(1→3); β-Xylf-(1→6); α-Glcp-(1→3); β-Galp-(1→4,6); α-Glcp-(1→3,6) | Mainly composed of →3)-Xylf-(1→, →5)-Araf-(1→ and terminal mannose groups, with a ratio of 5.9:2.6:2.7. There are also 1,3-linked rhamnose groups and 1,4,6-linked glucose groups. | No relevant information could be found in the literature. | glucose 11.49%; mannose 16.51%; galactose 13.64%; xylose 37.74%; arabinose 16.92%; rhamnose 3.69%",1520kDa,No relevant information could be found in the literature.
dolphin::33644,Polysaccharide,DoLPHiN,33644,CCPS,CCPS | α-Glcp-(1→3) | The main chain is composed of (1 → 3) linked α-D-Glc | The branch is composed of a single (1→3)-linked α-D-Glc unit and a terminal α-D-Glc-4-O-SO₃⁻. It is connected at the C-4 position of the main chain α-D-Glc. The degree of branching is about 16.73%. The C-1 of the terminal α-D-Glc-4-O-SO₃⁻ is connected to the O-3 of the (1→3)-linked α-D-Glc in the branch. | glucose Exist (No specific proportion could be found in the literature),CCPS | α-Glcp-(1→3) | The main chain is composed of (1 → 3) linked α-D-Glc | The branch is composed of a single (1→3)-linked α-D-Glc unit and a terminal α-D-Glc-4-O-SO₃⁻. It is connected at the C-4 position of the main chain α-D-Glc. The degree of branching is about 16.73%. The C-1 of the terminal α-D-Glc-4-O-SO₃⁻ is connected to the O-3 of the (1→3)-linked α-D-Glc in the branch. | glucose Exist (No specific proportion could be found in the literature),91.1kDa,The branch is composed of a single (1→3)-linked α-D-Glc unit and a terminal α-D-Glc-4-O-SO₃⁻. It is connected at the C-4 position of the main chain α-D-Glc. The degree of branching is about 16.73%. The C-1 of the terminal α-D-Glc-4-O-SO₃⁻ is connected to the O-3 of the (1→3)-linked α-D-Glc in the branch.
dolphin::33645,Polysaccharide,DoLPHiN,33645,GFP,"GFP | α-Glcp-(1→4); α-Glcp-(1→3) | May be mainly composed of glucose (Glc) connected by (1,4)- and Glc connected by (1,3)-. | No relevant information could be found in the literature. | glucose 59.78%; mannose 6.53%; galactose 13.16%; xylose 1.91%; arabinose 9.55%; rhamnose 9.06%","GFP | α-Glcp-(1→4); α-Glcp-(1→3) | May be mainly composed of glucose (Glc) connected by (1,4)- and Glc connected by (1,3)-. | No relevant information could be found in the literature. | glucose 59.78%; mannose 6.53%; galactose 13.16%; xylose 1.91%; arabinose 9.55%; rhamnose 9.06%",45.3kDa,No relevant information could be found in the literature.
dolphin::33646,Polysaccharide,DoLPHiN,33646,HCP - 2,"HCP - 2 | α-GalpAp-(1→4) | A linear chain composed of α-D-galacturonic acid (GalpA) residues linked by 1,4-bonds. Some 6-carboxyl groups are methyl esterified, and some 2-hydroxyl groups are acetylated. | No relevant information could be found in the literature. | galacturonic acid Exist (No specific proportion could be found in the literature)","HCP - 2 | α-GalpAp-(1→4) | A linear chain composed of α-D-galacturonic acid (GalpA) residues linked by 1,4-bonds. Some 6-carboxyl groups are methyl esterified, and some 2-hydroxyl groups are acetylated. | No relevant information could be found in the literature. | galacturonic acid Exist (No specific proportion could be found in the literature)",60kDa,No relevant information could be found in the literature.
dolphin::33647,Polysaccharide,DoLPHiN,33647,DFPP,"DFPP | α-GlcA-(1→6); β-Galp-(1→4) | The main chain is composed of →4-β-D-GlcpA-1→, →6β-D-Galp-1→ and →4-α-L-Rhap-1→. | α-L-Araf-1→5-α-L-Araf-1→ forms branched chains. | galactose 35.79%; arabinose 24.21%; glucuronic acid 29.47%; rhamnose 10.53%","DFPP | α-GlcA-(1→6); β-Galp-(1→4) | The main chain is composed of →4-β-D-GlcpA-1→, →6β-D-Galp-1→ and →4-α-L-Rhap-1→. | α-L-Araf-1→5-α-L-Araf-1→ forms branched chains. | galactose 35.79%; arabinose 24.21%; glucuronic acid 29.47%; rhamnose 10.53%",2200kDa,α-L-Araf-1→5-α-L-Araf-1→ forms branched chains.
dolphin::33648,Polysaccharide,DoLPHiN,33648,DWPP-Is,DWPP-Is | α-Glcp-(1→4) | (1 → 4)-linked β-D-glucose units and O-acetylated (1 → 4)-linked β-D-mannose units. | No relevant information could be found in the literature. | glucose 22.22%; mannose 77.78%,DWPP-Is | α-Glcp-(1→4) | (1 → 4)-linked β-D-glucose units and O-acetylated (1 → 4)-linked β-D-mannose units. | No relevant information could be found in the literature. | glucose 22.22%; mannose 77.78%,29kDa,No relevant information could be found in the literature.
dolphin::33649,Polysaccharide,DoLPHiN,33649,Okra polysaccharides,Okra polysaccharides | RG-I（Rhamnogalacturonan I） | Gal and Ara | glucose Exist (No specific proportion could be found in the literature); galactose Exist (No specific proportion could be found in the literature); arabinose Exist (No specific proportion could be found in the literature); galacturonic acid Exist (No specific proportion could be found in the literature); rhamnose Exist (No specific proportion could be found in the literature),Okra polysaccharides | RG-I（Rhamnogalacturonan I） | Gal and Ara | glucose Exist (No specific proportion could be found in the literature); galactose Exist (No specific proportion could be found in the literature); arabinose Exist (No specific proportion could be found in the literature); galacturonic acid Exist (No specific proportion could be found in the literature); rhamnose Exist (No specific proportion could be found in the literature),2436kDa,Gal and Ara
dolphin::33650,Polysaccharide,DoLPHiN,33650,SRP-1,SRP-1 | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucan. | α-D-galactopyranosyl | glucose 91.67%; mannose 1.63%; galactose 6.7%,SRP-1 | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucan. | α-D-galactopyranosyl | glucose 91.67%; mannose 1.63%; galactose 6.7%,,α-D-galactopyranosyl
dolphin::33651,Polysaccharide,DoLPHiN,33651,SRP-2,SRP-2 | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucan. | No relevant information could be found in the literature. | glucose 81.03%; mannose 3.49%; galactose 4.92%; ribose 10.56%,SRP-2 | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucan. | No relevant information could be found in the literature. | glucose 81.03%; mannose 3.49%; galactose 4.92%; ribose 10.56%,,No relevant information could be found in the literature.
dolphin::33652,Polysaccharide,DoLPHiN,33652,MAWP-60p,MAWP-60p | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucose units and (1 → 6)-linked α-D-galactose units | α-D-galactopyranosyl | glucose 28.47%; mannose 5.43%; galactose 66.1%,MAWP-60p | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucose units and (1 → 6)-linked α-D-galactose units | α-D-galactopyranosyl | glucose 28.47%; mannose 5.43%; galactose 66.1%,508kDa,α-D-galactopyranosyl
dolphin::33653,Polysaccharide,DoLPHiN,33653,MAWP-70,MAWP-70 | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucose units and (1 → 6)-linked α-D-galactose units | α-D-galactopyranosyl | glucose 23.72%; mannose 21.82%; galactose 54.47%,MAWP-70 | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucose units and (1 → 6)-linked α-D-galactose units | α-D-galactopyranosyl | glucose 23.72%; mannose 21.82%; galactose 54.47%,150kDa,α-D-galactopyranosyl
dolphin::33654,Polysaccharide,DoLPHiN,33654,MAWP-80,MAWP-80 | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucose units and (1 → 6)-linked α-D-galactose units | No relevant information could be found in the literature. | glucose 75.16%; mannose 2.14%; galactose 22.7%,MAWP-80 | α-Glcp-(1→6) | (1 → 6)-linked α-D-glucose units and (1 → 6)-linked α-D-galactose units | No relevant information could be found in the literature. | glucose 75.16%; mannose 2.14%; galactose 22.7%,118kDa,No relevant information could be found in the literature.
dolphin::33655,Polysaccharide,DoLPHiN,33655,YTPS—3N,YTPS—3N | β-Glcp-(1→6) | β-(1 → 6)-linked glucose units. | No relevant information could be found in the literature. | glucose 18.5%; mannose 5.56%; galactose 11.8%; arabinose 13.55%; ribose 3.37%; galacturonic acid 6.84%; glucuronic acid 3.47%; rhamnose 36.91%,YTPS—3N | β-Glcp-(1→6) | β-(1 → 6)-linked glucose units. | No relevant information could be found in the literature. | glucose 18.5%; mannose 5.56%; galactose 11.8%; arabinose 13.55%; ribose 3.37%; galacturonic acid 6.84%; glucuronic acid 3.47%; rhamnose 36.91%,37.7kDa,No relevant information could be found in the literature.
