:START_ID,:END_ID,:TYPE
dolphin::32969,organism:f6bf5b11d9a0,ISOLATED_FROM
dolphin::32970,organism:c50c4e0f7fa8,ISOLATED_FROM
dolphin::32971,organism:06cce442ecc8,ISOLATED_FROM
dolphin::32972,organism:d8be049d6243,ISOLATED_FROM
dolphin::32973,organism:8015216feab2,ISOLATED_FROM
dolphin::32974,organism:6578edec8a51,ISOLATED_FROM
dolphin::32975,organism:6578edec8a51,ISOLATED_FROM
dolphin::32976,organism:6578edec8a51,ISOLATED_FROM
dolphin::32977,organism:1bc2ef59c71a,ISOLATED_FROM
dolphin::32978,organism:1bc2ef59c71a,ISOLATED_FROM
dolphin::32979,organism:4e0501063175,ISOLATED_FROM
dolphin::32980,organism:3b17e778aed0,ISOLATED_FROM
dolphin::32981,organism:b1ee987e53b2,ISOLATED_FROM
dolphin::32982,organism:831a821cd889,ISOLATED_FROM
dolphin::32983,organism:84eec3e25eb6,ISOLATED_FROM
dolphin::32984,organism:8f55d380835b,ISOLATED_FROM
dolphin::32985,organism:086ab99476eb,ISOLATED_FROM
dolphin::32986,organism:4ca7947c9ff3,ISOLATED_FROM
dolphin::32987,organism:fed2b8dff564,ISOLATED_FROM
dolphin::32988,organism:50e0567f9c3a,ISOLATED_FROM
dolphin::32989,organism:f6bf5b11d9a0,ISOLATED_FROM
dolphin::32990,organism:f6bf5b11d9a0,ISOLATED_FROM
dolphin::32991,organism:aa477ec76613,ISOLATED_FROM
dolphin::32992,organism:0577646068d9,ISOLATED_FROM
dolphin::32993,organism:cd2830b8a3d3,ISOLATED_FROM
dolphin::32994,organism:ea5f7f0d0e91,ISOLATED_FROM
dolphin::32995,organism:d9dde50e9903,ISOLATED_FROM
dolphin::32996,organism:660366db0afd,ISOLATED_FROM
dolphin::32997,organism:7e2fb4a2f42b,ISOLATED_FROM
dolphin::32998,organism:73de71612822,ISOLATED_FROM
dolphin::32999,organism:0c51e8349b0d,ISOLATED_FROM
dolphin::33000,organism:a6ee81078643,ISOLATED_FROM
dolphin::33001,organism:10a089050d9d,ISOLATED_FROM
dolphin::33002,organism:10a089050d9d,ISOLATED_FROM
dolphin::33003,organism:885f462671fc,ISOLATED_FROM
dolphin::33004,organism:8443a1bd0e57,ISOLATED_FROM
dolphin::33005,organism:50e0567f9c3a,ISOLATED_FROM
dolphin::33006,organism:4194d856b6b5,ISOLATED_FROM
dolphin::33007,organism:10a089050d9d,ISOLATED_FROM
dolphin::33008,organism:8860c603977b,ISOLATED_FROM
dolphin::33009,organism:8860c603977b,ISOLATED_FROM
dolphin::33010,organism:4194d856b6b5,ISOLATED_FROM
dolphin::33011,organism:d111ccb7d3b1,ISOLATED_FROM
dolphin::33012,organism:c6ce879eed55,ISOLATED_FROM
dolphin::33013,organism:8b09a7698ff8,ISOLATED_FROM
dolphin::33014,organism:5ac488cb11bf,ISOLATED_FROM
dolphin::33015,organism:2f633d6ce831,ISOLATED_FROM
dolphin::33016,organism:45a2d448639c,ISOLATED_FROM
dolphin::33017,organism:9c49504deee3,ISOLATED_FROM
dolphin::33018,organism:90abc456905a,ISOLATED_FROM
dolphin::33019,organism:271bf52dbb1b,ISOLATED_FROM
dolphin::33020,organism:82f2f524ec11,ISOLATED_FROM
dolphin::33021,organism:8aa6a6f16dd3,ISOLATED_FROM
dolphin::33022,organism:544eaad9e074,ISOLATED_FROM
dolphin::33023,organism:17f8cdaf5c0b,ISOLATED_FROM
dolphin::33024,organism:5fb31d0044cf,ISOLATED_FROM
dolphin::33025,organism:5fb31d0044cf,ISOLATED_FROM
dolphin::33026,organism:863e97e495c2,ISOLATED_FROM
dolphin::33027,organism:5b404ecedbfd,ISOLATED_FROM
dolphin::33028,organism:23ffa0747119,ISOLATED_FROM
dolphin::33029,organism:23ffa0747119,ISOLATED_FROM
dolphin::33030,organism:21f57367da50,ISOLATED_FROM
dolphin::33031,organism:91b482cfe30e,ISOLATED_FROM
dolphin::33032,organism:ace940a6400d,ISOLATED_FROM
dolphin::33033,organism:ace940a6400d,ISOLATED_FROM
dolphin::33034,organism:ace940a6400d,ISOLATED_FROM
dolphin::33035,organism:ace940a6400d,ISOLATED_FROM
dolphin::33036,organism:a2cb20d79b22,ISOLATED_FROM
dolphin::33037,organism:b94ceed3e305,ISOLATED_FROM
dolphin::33038,organism:a2783d72bc5b,ISOLATED_FROM
dolphin::33039,organism:d09b4d5ea913,ISOLATED_FROM
dolphin::33040,organism:dced417220ea,ISOLATED_FROM
dolphin::33041,organism:3fc27a1b1d4d,ISOLATED_FROM
dolphin::33042,organism:0c9baf19a991,ISOLATED_FROM
dolphin::33043,organism:77253b1ebf72,ISOLATED_FROM
dolphin::33044,organism:5c68ed240155,ISOLATED_FROM
dolphin::33045,organism:5c68ed240155,ISOLATED_FROM
dolphin::33046,organism:5c68ed240155,ISOLATED_FROM
dolphin::33047,organism:5c68ed240155,ISOLATED_FROM
dolphin::33048,organism:5c68ed240155,ISOLATED_FROM
dolphin::33049,organism:5c68ed240155,ISOLATED_FROM
dolphin::33050,organism:5c68ed240155,ISOLATED_FROM
dolphin::33051,organism:da3236104446,ISOLATED_FROM
dolphin::33052,organism:d6efb8150fed,ISOLATED_FROM
dolphin::33053,organism:d6efb8150fed,ISOLATED_FROM
dolphin::33054,organism:557206c8586c,ISOLATED_FROM
dolphin::33055,organism:2677a3faee6a,ISOLATED_FROM
dolphin::33056,organism:e5cd168cc0d8,ISOLATED_FROM
dolphin::33057,organism:5c338eab5204,ISOLATED_FROM
dolphin::33058,organism:20bc30001600,ISOLATED_FROM
dolphin::33059,organism:2fc783062678,ISOLATED_FROM
dolphin::33060,organism:8015216feab2,ISOLATED_FROM
dolphin::33061,organism:d9dde50e9903,ISOLATED_FROM
dolphin::33062,organism:9e4f9fb14f22,ISOLATED_FROM
dolphin::33063,organism:30b1237dd04d,ISOLATED_FROM
dolphin::33064,organism:870eb16aef92,ISOLATED_FROM
dolphin::33065,organism:c004b58c48a8,ISOLATED_FROM
dolphin::33066,organism:cac8f6dda684,ISOLATED_FROM
dolphin::33067,organism:e67c0345e14d,ISOLATED_FROM
dolphin::33068,organism:13a1b11d2752,ISOLATED_FROM
dolphin::33069,organism:7c78c63a36ae,ISOLATED_FROM
dolphin::33070,organism:1182e12355c2,ISOLATED_FROM
dolphin::33071,organism:1ec2c627522d,ISOLATED_FROM
dolphin::33072,organism:a804ca590c3c,ISOLATED_FROM
dolphin::33073,organism:edb5d87f9d2d,ISOLATED_FROM
dolphin::33074,organism:ec7aff6eb66b,ISOLATED_FROM
dolphin::33075,organism:cce9a583a447,ISOLATED_FROM
dolphin::33076,organism:7cfa71d96a37,ISOLATED_FROM
dolphin::33077,organism:e9819e2dc6a7,ISOLATED_FROM
dolphin::33078,organism:086ab99476eb,ISOLATED_FROM
dolphin::33079,organism:0e35c0d2cc57,ISOLATED_FROM
dolphin::33080,organism:419515b94ea5,ISOLATED_FROM
dolphin::33081,organism:9abe80be55c1,ISOLATED_FROM
dolphin::33082,organism:3b5d43d19b72,ISOLATED_FROM
dolphin::33083,organism:cac8f6dda684,ISOLATED_FROM
dolphin::33084,organism:19df80e28091,ISOLATED_FROM
dolphin::33085,organism:f9a8d1b2e68f,ISOLATED_FROM
dolphin::33086,organism:f9a8d1b2e68f,ISOLATED_FROM
dolphin::33087,organism:a8587d1dcadf,ISOLATED_FROM
dolphin::33088,organism:75f91c4f5ea2,ISOLATED_FROM
dolphin::33089,organism:5fca76f1802e,ISOLATED_FROM
dolphin::33090,organism:831a821cd889,ISOLATED_FROM
dolphin::33091,organism:f9a8d1b2e68f,ISOLATED_FROM
dolphin::33092,organism:abb53809224a,ISOLATED_FROM
dolphin::33093,organism:5b629079909c,ISOLATED_FROM
dolphin::33094,organism:62108c487e4a,ISOLATED_FROM
dolphin::33095,organism:d40d826a96b5,ISOLATED_FROM
dolphin::33096,organism:0ce878272401,ISOLATED_FROM
dolphin::33097,organism:f66667807df4,ISOLATED_FROM
dolphin::33098,organism:2677a3faee6a,ISOLATED_FROM
dolphin::33099,organism:d39a60c1370e,ISOLATED_FROM
dolphin::33100,organism:096d666e54b6,ISOLATED_FROM
dolphin::33101,organism:db7ab1db0eb4,ISOLATED_FROM
dolphin::33102,organism:63d5a57f7087,ISOLATED_FROM
dolphin::33103,organism:eb0e579bbbd7,ISOLATED_FROM
dolphin::33104,organism:10a089050d9d,ISOLATED_FROM
dolphin::33105,organism:42099b4af021,ISOLATED_FROM
dolphin::33106,organism:bcf712f0f678,ISOLATED_FROM
dolphin::33107,organism:bcf712f0f678,ISOLATED_FROM
dolphin::33108,organism:34fa6b99275f,ISOLATED_FROM
dolphin::33109,organism:23ffa0747119,ISOLATED_FROM
dolphin::33110,organism:a210d925bfe9,ISOLATED_FROM
dolphin::33111,organism:c4d96240c435,ISOLATED_FROM
dolphin::33112,organism:f80f154aeb81,ISOLATED_FROM
dolphin::33113,organism:f80f154aeb81,ISOLATED_FROM
dolphin::33114,organism:6d40c7fe3244,ISOLATED_FROM
dolphin::33115,organism:fdce853f9a2b,ISOLATED_FROM
dolphin::33116,organism:5b404ecedbfd,ISOLATED_FROM
dolphin::33117,organism:98e3f4d11a05,ISOLATED_FROM
dolphin::33118,organism:5ccbf02792ef,ISOLATED_FROM
dolphin::33119,organism:fe5395558884,ISOLATED_FROM
dolphin::33120,organism:612fb356553f,ISOLATED_FROM
dolphin::33121,organism:612fb356553f,ISOLATED_FROM
dolphin::33122,organism:612fb356553f,ISOLATED_FROM
dolphin::33123,organism:6e9225e2c002,ISOLATED_FROM
dolphin::33124,organism:7a044c6b1ec5,ISOLATED_FROM
dolphin::33125,organism:fec580cceac6,ISOLATED_FROM
dolphin::33126,organism:d04b6c0e5b40,ISOLATED_FROM
dolphin::33127,organism:3c20ecad3e75,ISOLATED_FROM
dolphin::33128,organism:1465e57e6968,ISOLATED_FROM
