source_id,target_id,edge_type,source_db
dolphin::32868,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32868,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32869,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32870,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32871,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32872,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32872,disease:4c2783706964,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32872,disease:6d2e44ff8ea0,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32872,disease:639cdb96cd99,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32873,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32874,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32875,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32876,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32876,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32877,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32878,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32878,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32879,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32879,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32879,disease:4c2783706964,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32880,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32881,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32881,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32881,disease:639cdb96cd99,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32882,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32883,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32884,disease:1fddeb02d9df,ASSOCIATED_WITH_DISEASE,DoLPHiN
