source_id,target_id,edge_type
dolphin::32827,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32828,bond:380ef2e4ac6d,HAS_GLYCOSIDIC_BOND
dolphin::32828,bond:4341e8dcaf49,HAS_GLYCOSIDIC_BOND
dolphin::32829,bond:c1b10e35ea5c,HAS_GLYCOSIDIC_BOND
dolphin::32829,bond:4341e8dcaf49,HAS_GLYCOSIDIC_BOND
dolphin::32829,bond:f9d1b83d223b,HAS_GLYCOSIDIC_BOND
dolphin::32830,bond:90e18407cfd8,HAS_GLYCOSIDIC_BOND
dolphin::32830,bond:38ac0a48d38f,HAS_GLYCOSIDIC_BOND
dolphin::32831,bond:ff7f51a102f8,HAS_GLYCOSIDIC_BOND
dolphin::32831,bond:1780e3ec8d43,HAS_GLYCOSIDIC_BOND
dolphin::32831,bond:634559d23c75,HAS_GLYCOSIDIC_BOND
dolphin::32831,bond:35465f06d596,HAS_GLYCOSIDIC_BOND
dolphin::32832,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32832,bond:90e18407cfd8,HAS_GLYCOSIDIC_BOND
dolphin::32832,bond:c292f4468df2,HAS_GLYCOSIDIC_BOND
dolphin::32832,bond:ff7f51a102f8,HAS_GLYCOSIDIC_BOND
dolphin::32832,bond:1780e3ec8d43,HAS_GLYCOSIDIC_BOND
dolphin::32832,bond:74b857aeb6e8,HAS_GLYCOSIDIC_BOND
dolphin::32833,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32833,bond:c4533beb842e,HAS_GLYCOSIDIC_BOND
dolphin::32833,bond:0432387e810d,HAS_GLYCOSIDIC_BOND
dolphin::32833,bond:f203a0521c15,HAS_GLYCOSIDIC_BOND
dolphin::32833,bond:c1b10e35ea5c,HAS_GLYCOSIDIC_BOND
dolphin::32834,bond:c4132e365903,HAS_GLYCOSIDIC_BOND
dolphin::32834,bond:90e6645d4e3e,HAS_GLYCOSIDIC_BOND
dolphin::32834,bond:54d12405c466,HAS_GLYCOSIDIC_BOND
dolphin::32835,bond:a8567f78d6b0,HAS_GLYCOSIDIC_BOND
dolphin::32835,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32835,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32835,bond:bb61b5ac28c4,HAS_GLYCOSIDIC_BOND
dolphin::32835,bond:0391cd25bbaf,HAS_GLYCOSIDIC_BOND
dolphin::32836,bond:d46f89a5ae3a,HAS_GLYCOSIDIC_BOND
dolphin::32836,bond:d0c29fa08a4b,HAS_GLYCOSIDIC_BOND
dolphin::32836,bond:273908c0f6c5,HAS_GLYCOSIDIC_BOND
dolphin::32836,bond:ce7f7746c2a3,HAS_GLYCOSIDIC_BOND
dolphin::32837,bond:0391cd25bbaf,HAS_GLYCOSIDIC_BOND
dolphin::32837,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32837,bond:9fc12cbd95c8,HAS_GLYCOSIDIC_BOND
dolphin::32838,bond:1cf6f408b486,HAS_GLYCOSIDIC_BOND
dolphin::32838,bond:ed856b8982bd,HAS_GLYCOSIDIC_BOND
dolphin::32838,bond:e75b03bc8c93,HAS_GLYCOSIDIC_BOND
dolphin::32839,bond:54af7467d9e8,HAS_GLYCOSIDIC_BOND
