bond_id,bond_text_raw,bond_signature,anomericity,donor_residue,acceptor_position
bond:2db1319f2af4,α-Xylp-(2→1),α-Xylp-(2→1),,,
bond:f4e9a4061de7,β-Glcp-(2→1),β-Glcp-(2→1),,,
bond:2870e73dba84,α-Glap-(1→4),α-Glap-(1→4),,,
bond:49e49583f723,"β-Arap-(1→2,4)","β-Arap-(1→2,4)",,,
bond:bfcece0ff75c,"β-Manp-(1→1,4)","β-Manp-(1→1,4)",,,
bond:dfae910fb26b,"β-Manp-(1→3,4)","β-Manp-(1→3,4)",,,
bond:ab31751fe89a,β-Manp-(1→3),β-Manp-(1→3),,,
bond:6b651bb1f1b3,"β-Manp-(1→2,6)","β-Manp-(1→2,6)",,,
bond:67f5f741bbdd,β-Glcp-(3→4),β-Glcp-(3→4),,,
bond:c78d6185f575,β-Galp-(4→1),β-Galp-(4→1),,,
bond:bf2fbb686e75,a-Manp-(1→2),a-Manp-(1→2),,,
bond:868c6c5cf7ec,β-Glcp-(6→3),β-Glcp-(6→3),,,
bond:838b1d56933e,"β-Galp-(1→2,3,6)","β-Galp-(1→2,3,6)",,,
bond:270d80eabe11,"α-Galp-(1→4,6)","α-Galp-(1→4,6)",,,
bond:5b8e9f052152,β-Xylf-(1→5),β-Xylf-(1→5),,,
bond:d8192742044b,"α-Rhap-(1→1,3)","α-Rhap-(1→1,3)",,,
bond:378fb166d5ab,"β-Galp-(1→1,6)","β-Galp-(1→1,6)",,,
bond:2b1f12aade7b,"β-Galp-(1→1,3,6)","β-Galp-(1→1,3,6)",,,
bond:917d2db28d7b,"β-Araf-(1→3,5)","β-Araf-(1→3,5)",,,
bond:b1c4b85f5957,"β-Rhap-(1→2,4)","β-Rhap-(1→2,4)",,,
bond:b118e6a51536,"α-Glcp-(1→1,6)","α-Glcp-(1→1,6)",,,
bond:aa9ee762c70c,"β-Galp-(1→2,6)","β-Galp-(1→2,6)",,,
bond:d02dc276d5c6,"β-Glcp-(1→3,4)","β-Glcp-(1→3,4)",,,
bond:ad2b733c2210,"α-Rhap-(1→3,4)","α-Rhap-(1→3,4)",,,
bond:68b3f5d253ba,β-Araf-(1→2),β-Araf-(1→2),,,
bond:348e158f4bcf,"α-Glcp-(1→2,3)","α-Glcp-(1→2,3)",,,
bond:e4b17ae08033,"α-Galp-(1→6,2)","α-Galp-(1→6,2)",,,
bond:3447c84bc7ee,"α-Glcp-(1→6,4)","α-Glcp-(1→6,4)",,,
bond:d86b8de45ad6,β-Araf-(1→1),β-Araf-(1→1),,,
bond:ee1869bcbf26,"α-Glcp-(1→3,4)","α-Glcp-(1→3,4)",,,
bond:e4b968d4c357,"β-Manp-(1→4,6)","β-Manp-(1→4,6)",,,
bond:7b0a175417e5,β-Xylp-(1→6),β-Xylp-(1→6),,,
bond:798c501d9ac2,"β-Fruf-(2→1,6)","β-Fruf-(2→1,6)",,,
bond:7e88ae6fdd19,"α-GalA-(1→3,6)","α-GalA-(1→3,6)",,,
bond:4b9ef0adccd5,"α-Arap-(1→3,5)","α-Arap-(1→3,5)",,,
bond:e0da2d2ca283,β-GalNAc-(1→4),β-GalNAc-(1→4),,,
bond:2eb9a582da6e,α-GlapA-(1→4),α-GlapA-(1→4),,,
bond:8ec4ab74705e,α-Galp-(4→3),α-Galp-(4→3),,,
bond:5dd42ea9dde3,α-Fucp-(4→1),α-Fucp-(4→1),,,
bond:c2d24baa487a,α-Xylp-(3→1),α-Xylp-(3→1),,,
bond:506531a62f78,α-Manp-(2→6),α-Manp-(2→6),,,
bond:b6a65841220a,α-Galp-(2→6),α-Galp-(2→6),,,
bond:b9c784ccce43,"α-Araf-(1→4,6)","α-Araf-(1→4,6)",,,
bond:6d2cfe1315a9,α-GalN-(1→6),α-GalN-(1→6),,,
bond:f45eefe7d97a,β-Fruf-(1→2),β-Fruf-(1→2),,,
bond:10c1d3d12c76,"α-Glcp-(1,4→6)","α-Glcp-(1,4→6)",,,
bond:5b93b6f263c7,β-Fucp-(1→6),β-Fucp-(1→6),,,
bond:de45aedbb19c,β-Gal-(1→6),β-Gal-(1→6),,,
bond:963246193132,β-Xylp-(1→2),β-Xylp-(1→2),,,
bond:b6231a2220ce,β-Fru-(1→2),β-Fru-(1→2),,,
bond:597fca0b6882,"α-Manp-(1→3,4)","α-Manp-(1→3,4)",,,
bond:f142049b40b2,β-Manp-(1→2),β-Manp-(1→2),,,
bond:31527a09c6a3,β-GlcA-(1→2),β-GlcA-(1→2),,,
bond:d3f5d669f271,β-ManA-(1→4),β-ManA-(1→4),,,
bond:bfa07aa92007,β-GalN-(1→5),β-GalN-(1→5),,,
bond:3eaba7b38c7c,β-GalN-(1→3),β-GalN-(1→3),,,
bond:4b0294eee218,α-Xylp-(5→1),α-Xylp-(5→1),,,
bond:df0818e77031,α-Manp-(6→2),α-Manp-(6→2),,,
bond:954ba96e899a,α-(1→4)-Glcp,α-(1→4)-Glcp,,,
bond:1dfe3ee3778e,β-Manp-(1→1),β-Manp-(1→1),,,
bond:73f3406882d4,α-Arap-(1→1),α-Arap-(1→1),,,
bond:57880582867a,"α-Arap-(1→2,3,5)","α-Arap-(1→2,3,5)",,,
bond:28660f05e3bc,"α-Manp-(1→2,3)","α-Manp-(1→2,3)",,,
bond:75288be0fac1,α-Fucp-(1→1),α-Fucp-(1→1),,,
bond:20a8d764fab6,"α-Manp-(1→2,4)","α-Manp-(1→2,4)",,,
bond:c3c75faa7709,β-Xylp-(1→3),β-Xylp-(1→3),,,
bond:e2efd56e07cf,β-D-Galp-(1→1),β-D-Galp-(1→1),,,
bond:260eb32988cf,β-Galf-(1→2),β-Galf-(1→2),,,
bond:c16f567daeb6,β-Galf-(1→6),β-Galf-(1→6),,,
bond:ff70c5444c58,"β-GalA-(1→3,4)","β-GalA-(1→3,4)",,,
bond:f7428064cb86,"β-Manp-(1→2,3)","β-Manp-(1→2,3)",,,
bond:4646267fe4fa,β-GalA(1→1),β-GalA(1→1),,,
bond:d6c875bc570e,α-GlcA-(1→3),α-GlcA-(1→3),,,
bond:a97abd5871f5,"α-Glcp-(1→2,6)","α-Glcp-(1→2,6)",,,
bond:58edb0e78633,α-Xylp-(1→2),α-Xylp-(1→2),,,
bond:0fcd82d382dd,β-GalA-(1→3),β-GalA-(1→3),,,
bond:453a1d497845,β-GalpA-(1→4),β-GalpA-(1→4),,,
bond:ab3bb2d97c0e,β-GalpA-(1→2),β-GalpA-(1→2),,,
bond:1d1cad2195a3,β-GalpA-(1→3),β-GalpA-(1→3),,,
bond:1d11d38463d2,β-GalA-(1→6),β-GalA-(1→6),,,
bond:2154ebf04b6a,α-GlcA-(1→5),α-GlcA-(1→5),,,
bond:da440afb2329,"β-Galp-(1→1,3)","β-Galp-(1→1,3)",,,
bond:b579bf5a4eeb,β-Fucp-(1→3),β-Fucp-(1→3),,,
bond:7665df15e610,"β-Arap-(1→3,6)","β-Arap-(1→3,6)",,,
bond:6c2b925c3781,β-Rhap-(1→3),β-Rhap-(1→3),,,
bond:8c373aadc326,β-Araf-(1→),β-Araf-(1→),,,
bond:2e206dbb1ea4,"β-Arap-(1→2,3,5)","β-Arap-(1→2,3,5)",,,
bond:54abd83e0c61,β-Arap-(1→6),β-Arap-(1→6),,,
bond:e3890082f6b7,"β-Arap-(1→2,6)","β-Arap-(1→2,6)",,,
bond:86f344091400,"α-Rhap-(1→2,3,4)","α-Rhap-(1→2,3,4)",,,
bond:ed45df85dc50,"β-Xylp-(1→2,4)","β-Xylp-(1→2,4)",,,
bond:808b8a5ab395,α-GalNAc-(1→3),α-GalNAc-(1→3),,,
bond:1a8d539fe925,α-GalNAc-(1→4),α-GalNAc-(1→4),,,
bond:0a08bff18e7f,α-ManA-(1→4),α-ManA-(1→4),,,
bond:69ed8c459e57,α-GalpA-(1→2),α-GalpA-(1→2),,,
bond:b0a13c67e382,β-Xylf-(1→6),β-Xylf-(1→6),,,
bond:f91f4c603eee,α-GalpAp-(1→4),α-GalpAp-(1→4),,,
bond:0dd16ac8a116,α-GlcA-(1→6),α-GlcA-(1→6),,,
bond:2797b0811281,"β-Xylp-(1→3,4)","β-Xylp-(1→3,4)",,,
bond:391848f2c353,"α-Glcp-(1→, →4,6)","α-Glcp-(1→, →4,6)",,,
bond:2350a1a34feb,"α-Glcp-(1→, →3,4,6)","α-Glcp-(1→, →3,4,6)",,,
bond:ca00b05c63dc,β-GlcNAc-(1→4),β-GlcNAc-(1→4),,,
bond:435ff83baa98,β-GlcN-(1→4),β-GlcN-(1→4),,,
bond:ee6ef3445e5c,β-GlcA(1→3),β-GlcA(1→3),,,
bond:ca140e4934e3,β-GlcA-(1→1),β-GlcA-(1→1),,,
bond:0cbde796f624,"α-Glcp-(1→2,3,4)","α-Glcp-(1→2,3,4)",,,
bond:313cb5a421e9,"α-Glcp-(1→2,3,6)","α-Glcp-(1→2,3,6)",,,
bond:16b727140f5b,"β-Arap-(1→2,3)","β-Arap-(1→2,3)",,,
bond:1c9f75ec798c,"α-Galp-(1→3,4,6)","α-Galp-(1→3,4,6)",,,
bond:f693efba39c7,α-Rhap(1→2),α-Rhap(1→2),,,
bond:23b82d50d569,α-Glcp-(1→4）,α-Glcp-(1→4）,,,
bond:63486eead734,β-Galp-(3→1),β-Galp-(3→1),,,
bond:fe7400379aef,"β-Galp-(6→1,3)","β-Galp-(6→1,3)",,,
bond:1e2dd06cda88,β-Galp-(6→3),β-Galp-(6→3),,,
bond:c0d3f352f391,α-Galp-(4→1),α-Galp-(4→1),,,
bond:55015d99565b,β-Xylp-(1→4）,β-Xylp-(1→4）,,,
bond:9c49f9db87aa,α-GalpA-(1→4),α-GalpA-(1→4),,,
bond:46630ef02251,Arap-(1→4),Arap-(1→4),,,
bond:bb5a4ede27e4,β-Glcp-(l→4),β-Glcp-(l→4),,,
bond:e0297b9d5959,β-Galp-(l→4),β-Galp-(l→4),,,
bond:3ce1d96052db,α-GalA-(1→5),α-GalA-(1→5),,,
bond:cb9b7c6730f9,β-ManNAc-(1→4),β-ManNAc-(1→4),,,
bond:92d15b2953f4,α-Galp-(3→6),α-Galp-(3→6),,,
bond:05f456a1314f,α-Fucp-(4→6),α-Fucp-(4→6),,,
bond:8ef0e68aeac3,β-GlcA-(3→1),β-GlcA-(3→1),,,
bond:b77414b2467b,α-Rhap-(4→1),α-Rhap-(4→1),,,
bond:84eb78476d8d,α-Rhap-(3→1),α-Rhap-(3→1),,,
bond:880246a5fc44,α-Rhap-(6→1),α-Rhap-(6→1),,,
bond:e10174916342,α-GlcNAc-(1→2),α-GlcNAc-(1→2),,,
bond:67a3f820716f,β-GlcNAc-(1→3),β-GlcNAc-(1→3),,,
bond:fbc58e43ea6c,α-GlcNAc-(1→3),α-GlcNAc-(1→3),,,
bond:5ebf23dc057c,α-Galf-(5→1),α-Galf-(5→1),,,
bond:928b46f8ffb3,α-Glcp-(2→1),α-Glcp-(2→1),,,
bond:b1c3568ff7ef,α-Glcp-(5→1),α-Glcp-(5→1),,,
bond:976171ef9283,α-GlcN-(1→6),α-GlcN-(1→6),,,
bond:c8a6550abe53,α-GaNAc-(1→3),α-GaNAc-(1→3),,,
bond:e142dc0e7e9d,α-GaNAc-(1→4),α-GaNAc-(1→4),,,
bond:0e0becc4fb14,α-GlcNAc-(1→6),α-GlcNAc-(1→6),,,
bond:d0352e13a470,β-GalS-(1→4),β-GalS-(1→4),,,
bond:ca01a311757c,α-GaplA-(1→4),α-GaplA-(1→4),,,
bond:da23895471b8,β-GalpA2S-(1→4),β-GalpA2S-(1→4),,,
bond:9209d0f47766,α-FucNAc-(1→3),α-FucNAc-(1→3),,,
bond:21c6b71d66eb,α-Manp-(1→5),α-Manp-(1→5),,,
bond:a78c15233f73,α-GlcpA-(1→6),α-GlcpA-(1→6),,,
bond:814ac1b5c01e,α-D-Glcp-(1→4),α-D-Glcp-(1→4),,,
bond:2caeff331eae,β-GlcAp-(1→4),β-GlcAp-(1→4),,,
bond:fb1fdd3e025d,β-GalAp-(1→3),β-GalAp-(1→3),,,
bond:abb61d103b56,β-GlcpA-(1→6),β-GlcpA-(1→6),,,
bond:d3400135eec4,ß-Rhap-(1→2),ß-Rhap-(1→2),,,
bond:6b961ce192e7,"ɑ-Galp-(1,3→6)","ɑ-Galp-(1,3→6)",,,
bond:1bdb9f2013ed,"ɑ-Glcp-(1,2→6)","ɑ-Glcp-(1,2→6)",,,
bond:6257e5cb77c7,β-GaNAc-(1→3),β-GaNAc-(1→3),,,
bond:61e08a9a6ab8,β-GalA-(1→2),β-GalA-(1→2),,,
bond:8899c73ba33e,"α-GalA-(1→2,3)","α-GalA-(1→2,3)",,,
bond:c887d565fa92,α-Rhap-(2→4),α-Rhap-(2→4),,,
bond:bebe647b2001,β-Galp-(1→36,β-Galp-(1→36,,,
bond:09885f8ec694,"β-Arap-(1→1,2)","β-Arap-(1→1,2)",,,
bond:eed092e8995b,α-Arap-(1→3):α-Glcp-(1→6),α-Arap-(1→3):α-Glcp-(1→6),,,
